City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
285,nabire,-3.3667,135.4833,24.61,95,100,0.64,ID,1681822903
286,lima,-12.0432,-77.0282,22.72,89,75,3.09,PE,1681822444
287,lida,53.8833,25.2997,12.03,59,94,3.73,BY,1681822635
288,kasongo-lunda,-6.4667,16.8167,29.01,64,90,1.43,CD,1681822905
289,ormara,25.2088,64.6357,28.05,58,33,6.01,PK,1681822905
290,yazoo city,32.8551,-90.4056,14.39,71,58,1.79,US,1681822906
291,sompeta,18.9333,84.6,31.18,55,83,6.7,IN,1681822666
292,bambous virieux,-20.3428,57.7575,28.14,78,75,5.66,MU,1681822908
293,puerto escondido,15.85,-97.0667,25.73,69,71,1.05,MX,1681822809
294,port blair,11.6667,92.75,29.24,74,66,0.85,IN,1681822909
295,wanaka,-44.7,169.15,8.95,87,3,0.81,NZ,1681822909
296,maunabo,18.0072,-65.8993,28.16,83,11,3.26,PR,1681822910
297,xinyang,32.1228,114.0656,22.4,84,100,2.37,CN,1681822911
298,biak,-0.9131,122.8766,25.75,84,100,0.88,ID,1681822911
299,ust-kuyga,70.0167,135.6,-17.54,100,100,2.28,RU,1681822411
300,elat,29.5581,34.9482,37.91,20,1,3.6,IL,1681822913
301,mayumba,-3.432,10.6554,28.41,79,100,1.91,GA,1681822914
302,coihaique,-45.5752,-72.0662,11.97,58,100,4.12,CL,1681822342
303,assiniboia,49.6334,-105.9845,2.9,87,100,3.09,CA,1681822915
304,marawi,7.9986,124.2928,21.39,95,22,0.83,PH,1681822392
305,san marcos,33.1434,-117.1661,12.62,90,100,2.06,US,1681822657
306,vestmannaeyjar,63.4427,-20.2734,8.55,100,100,9.26,IS,1681822916
307,bichura,50.5881,107.6022,4.56,63,100,1.73,RU,1681822917
308,longyearbyen,78.2186,15.6401,-2.09,93,100,12.86,SJ,1681822917
309,jacareacanga,-6.2222,-57.7528,27.02,79,100,1.1,BR,1681822918
310,ende,-8.8432,121.6623,25.52,90,91,1.09,ID,1681822919
311,jinchang,38.4953,102.1739,22.79,16,4,4.66,CN,1681822920
312,tahta,26.7693,31.5021,37.83,7,0,4.91,EG,1681822393
313,skagen,57.7209,10.5839,8.26,75,100,5.93,DK,1681822921
314,guarapari,-20.6667,-40.4975,28.83,58,7,2.55,BR,1681822908
315,otta,61.7712,9.5353,9.4,64,100,0.51,NO,1681822923
316,fortuna,40.5982,-124.1573,4.25,94,26,1.79,US,1681822824
317,custodia,-8.0875,-37.6431,26.29,68,100,1.34,BR,1681822924
318,mamakan,57.8161,114.0028,-5.3,91,100,0.45,RU,1681822925
319,lasa,46.6166,10.7002,19.27,58,74,0.9,IT,1681822926
320,port lincoln,-34.7333,135.8667,15.86,57,100,6.01,AU,1681822927
321,ribas do rio pardo,-20.4431,-53.7592,26.49,77,83,6.31,BR,1681822929
322,bor,56.3567,44.0669,11.96,62,100,3.67,RU,1681822929
323,pickerington,39.8842,-82.7535,4.53,71,0,4.63,US,1681822758
324,miramas,43.5833,5.0,20.88,32,0,4.63,FR,1681822930
325,palmer,42.1584,-72.3287,11.47,58,75,8.23,US,1681822931
326,shimoda,34.6667,138.95,16.17,79,46,7.54,JP,1681822931
327,saint-pierre,-21.3393,55.4781,28.82,65,75,1.54,RE,1681822932
328,melilla,35.2937,-2.9383,21.11,72,40,6.17,ES,1681822690
329,bowen,-20.0167,148.2333,23.44,83,16,5.17,AU,1681822933
330,lorengau,-2.0226,147.2712,27.28,78,84,3.16,PG,1681822934
